Bill of Material for ,,,,,,,,,,,,,,,,,,,,,,,,
On 2017/7/5 at 10:22:12,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Comment,Pattern,Quantity,Components,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1k,LC-0603_R,1,R2,,,,,,,,,,,,,,,,,,,,,
MPU6050,LC-QFN-24_4x4x05P,1,2,9轴运动处理传感器,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.1f30a53fsL4w1W&id=545487295066&_u=5kjj8624e4a,,,,,,,,,,
NRF24L01,LC-HDR2X4H,1,1,"Header, 4-Pin, Dual row, Right Angle",,,,,,,,,,,,,,,,,,,,
SPP-C,SPP-C,1,BT1,sppc,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.1f30a53fzTLY1G&id=544542686550&_u=5kjj8625613,,,,,,,,,,或者https://item.taobao.com/item.htm?spm=a1z09.2.0.0.1f30a53fzTLY1G&id=522555095479&_u=5kjj862b1a1
STM32F103C8T6,LC-LQFP-48_7x7x05P,1,U1,"STM32 ARM-based 32-bit MCU with 64 Kbytes Flash, 48-pin LQFP, Industrial Temperature",,,,,,,,,,https://detail.tmall.com/item.htm?id=44150610998&spm=a1z09.2.0.0.1f30a53fsL4w1W&_u=5kjj862a00d,,,,,,,,,,
SWD,HDR1X4,1,SWD1,"Header, 4-Pin",,,,,,,,,,,,,,,,,,,,
SW-PB,KEY,2,"S1, S2",Switch,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.1f30a53fzTLY1G&id=529356821646&_u=5kjj862cf2d,,,,,,,,,,
SW-PB,钮子开关,1,S3,Switch,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.1f30a53fzTLY1G&id=178523277&_u=5kjj86280fb,,,,,,,,,,
TB6612,TB6612,1,3,,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.1f30a53fsL4w1W&id=545487295066&_u=5kjj8624e4a,,,,,,,,,,
USB_CONNECTOR,MINI_USB_FEMALE,1,U2,,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.1f30a53fsL4w1W&id=540462670441&_u=5kjj8626ffb,,,,,,,,,,
OLED显示屏,,,,,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.1f30a53fsL4w1W&id=545487295066&_u=5kjj8624e4a,,,,,,,,,,
航模电池,,,,,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.1f30a53fsL4w1W&id=42164560730&_u=5kjj862a564,,,,,,,,,,
充电器,,,,,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.1f30a53fsL4w1W&id=42149901736&_u=5kjj8624d88,,,,,,,,,,
亚克力板,,,,,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.1f30a53fsL4w1W&id=44162813618&_u=5kjj86206c0,,,,,,,,,,
底座加电机,,,,,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.1f30a53fzTLY1G&id=43575097124&_u=5kjj862687b,,,,,,,,,,
